,valid,date,time,hour,altimeter,sea_level_pressure
86,2023-07-02 20:51:00,2023-07-02,20:51:00,20,29.83,1009.3
87,2023-07-02 21:51:00,2023-07-02,21:51:00,21,29.83,1009.3
88,2023-07-02 22:45:00,2023-07-02,22:45:00,22,29.84,1008.2
89,2023-07-02 22:51:00,2023-07-02,22:51:00,22,29.83,1009.1
90,2023-07-02 23:00:00,2023-07-02,23:00:00,23,29.83,1008.2
91,2023-07-02 23:22:00,2023-07-02,23:22:00,23,29.83,1008.2
92,2023-07-02 23:51:00,2023-07-02,23:51:00,23,29.82,1008.9
93,2023-07-03 00:51:00,2023-07-03,00:51:00,0,29.81,1008.6
94,2023-07-03 01:51:00,2023-07-03,01:51:00,1,29.82,1008.8
95,2023-07-03 02:10:00,2023-07-03,02:10:00,2,29.83,1008.2
96,2023-07-03 02:21:00,2023-07-03,02:21:00,2,29.82,1008.2
97,2023-07-03 02:44:00,2023-07-03,02:44:00,2,29.84,1008.2
98,2023-07-03 02:51:00,2023-07-03,02:51:00,2,29.84,1009.3
99,2023-07-03 03:00:00,2023-07-03,03:00:00,3,29.82,1008.2
100,2023-07-03 03:51:00,2023-07-03,03:51:00,3,29.82,1008.8
101,2023-07-03 04:12:00,2023-07-03,04:12:00,4,29.88,1011.6
102,2023-07-03 04:21:00,2023-07-03,04:21:00,4,29.86,1011.6
103,2023-07-03 04:29:00,2023-07-03,04:29:00,4,29.85,1008.2
104,2023-07-03 04:33:00,2023-07-03,04:33:00,4,29.85,1008.2
105,2023-07-03 04:51:00,2023-07-03,04:51:00,4,29.84,1009.4
106,2023-07-03 05:51:00,2023-07-03,05:51:00,5,29.83,1009.1
107,2023-07-03 06:51:00,2023-07-03,06:51:00,6,29.83,1009.1
108,2023-07-03 07:51:00,2023-07-03,07:51:00,7,29.84,1009.4
109,2023-07-03 08:51:00,2023-07-03,08:51:00,8,29.84,1009.5
110,2023-07-03 09:51:00,2023-07-03,09:51:00,9,29.84,1009.5
111,2023-07-03 10:51:00,2023-07-03,10:51:00,10,29.85,1009.7
112,2023-07-03 11:51:00,2023-07-03,11:51:00,11,29.86,1010.3
113,2023-07-03 12:51:00,2023-07-03,12:51:00,12,29.88,1010.8
114,2023-07-03 13:51:00,2023-07-03,13:51:00,13,29.88,1010.9
115,2023-07-03 14:51:00,2023-07-03,14:51:00,14,29.88,1010.9
116,2023-07-03 15:51:00,2023-07-03,15:51:00,15,29.88,1010.8
117,2023-07-03 16:51:00,2023-07-03,16:51:00,16,29.87,1010.4
118,2023-07-03 17:51:00,2023-07-03,17:51:00,17,29.86,1010.2
119,2023-07-03 18:51:00,2023-07-03,18:51:00,18,29.85,1009.7
120,2023-07-03 19:51:00,2023-07-03,19:51:00,19,29.84,1009.3
121,2023-07-03 20:51:00,2023-07-03,20:51:00,20,29.83,1009.2
122,2023-07-03 21:51:00,2023-07-03,21:51:00,21,29.82,1008.8
123,2023-07-03 22:51:00,2023-07-03,22:51:00,22,29.82,1008.7
124,2023-07-03 23:51:00,2023-07-03,23:51:00,23,29.83,1009.1
125,2023-07-04 00:23:00,2023-07-04,00:23:00,0,29.85,1008.2
126,2023-07-04 00:34:00,2023-07-04,00:34:00,0,29.82,1008.2
127,2023-07-04 00:41:00,2023-07-04,00:41:00,0,29.83,1008.2
128,2023-07-04 00:51:00,2023-07-04,00:51:00,0,29.83,1009.2
129,2023-07-04 01:51:00,2023-07-04,01:51:00,1,29.89,1011.1
130,2023-07-04 02:51:00,2023-07-04,02:51:00,2,29.88,1010.8
131,2023-07-04 03:51:00,2023-07-04,03:51:00,3,29.88,1010.7
132,2023-07-04 04:48:00,2023-07-04,04:48:00,4,29.91,1011.6
133,2023-07-04 04:51:00,2023-07-04,04:51:00,4,29.91,1011.7
134,2023-07-04 05:03:00,2023-07-04,05:03:00,5,29.9,1011.6
135,2023-07-04 05:23:00,2023-07-04,05:23:00,5,29.88,1011.6
136,2023-07-04 05:34:00,2023-07-04,05:34:00,5,29.88,1011.6
137,2023-07-04 05:51:00,2023-07-04,05:51:00,5,29.88,1010.9
138,2023-07-04 05:58:00,2023-07-04,05:58:00,5,29.88,1011.6
139,2023-07-04 06:11:00,2023-07-04,06:11:00,6,29.88,1011.6
140,2023-07-04 06:47:00,2023-07-04,06:47:00,6,29.89,1011.6
141,2023-07-04 06:51:00,2023-07-04,06:51:00,6,29.89,1011.0
142,2023-07-04 07:08:00,2023-07-04,07:08:00,7,29.88,1011.6
143,2023-07-04 07:51:00,2023-07-04,07:51:00,7,29.88,1010.9
144,2023-07-04 08:51:00,2023-07-04,08:51:00,8,29.88,1011.0
145,2023-07-04 09:51:00,2023-07-04,09:51:00,9,29.9,1011.4
146,2023-07-04 10:51:00,2023-07-04,10:51:00,10,29.9,1011.6
147,2023-07-04 11:51:00,2023-07-04,11:51:00,11,29.92,1012.2
148,2023-07-04 12:28:00,2023-07-04,12:28:00,12,29.92,1011.6
149,2023-07-04 12:38:00,2023-07-04,12:38:00,12,29.92,1011.6
150,2023-07-04 12:51:00,2023-07-04,12:51:00,12,29.92,1012.3
151,2023-07-04 13:07:00,2023-07-04,13:07:00,13,29.93,1011.6
152,2023-07-04 13:51:00,2023-07-04,13:51:00,13,29.94,1012.8
153,2023-07-04 14:51:00,2023-07-04,14:51:00,14,29.93,1012.4
154,2023-07-04 14:59:00,2023-07-04,14:59:00,14,29.93,1011.6
155,2023-07-04 15:16:00,2023-07-04,15:16:00,15,29.94,1011.6
156,2023-07-04 15:24:00,2023-07-04,15:24:00,15,29.93,1011.6
157,2023-07-04 15:29:00,2023-07-04,15:29:00,15,29.93,1011.6
158,2023-07-04 15:51:00,2023-07-04,15:51:00,15,29.93,1012.5
159,2023-07-04 15:59:00,2023-07-04,15:59:00,15,29.93,1011.6
160,2023-07-04 16:04:00,2023-07-04,16:04:00,16,29.93,1011.6
161,2023-07-04 16:26:00,2023-07-04,16:26:00,16,29.94,1011.6
162,2023-07-04 16:38:00,2023-07-04,16:38:00,16,29.93,1011.6
163,2023-07-04 16:46:00,2023-07-04,16:46:00,16,29.93,1011.6
164,2023-07-04 16:51:00,2023-07-04,16:51:00,16,29.93,1012.5
165,2023-07-04 17:51:00,2023-07-04,17:51:00,17,29.93,1012.4
166,2023-07-04 18:51:00,2023-07-04,18:51:00,18,29.91,1012.0
167,2023-07-04 19:51:00,2023-07-04,19:51:00,19,29.9,1011.6
168,2023-07-04 20:51:00,2023-07-04,20:51:00,20,29.92,1012.1
169,2023-07-04 21:51:00,2023-07-04,21:51:00,21,29.9,1011.5
170,2023-07-04 22:51:00,2023-07-04,22:51:00,22,29.93,1012.5
171,2023-07-04 23:51:00,2023-07-04,23:51:00,23,29.93,1012.5
172,2023-07-05 00:51:00,2023-07-05,00:51:00,0,29.94,1012.9
173,2023-07-05 01:51:00,2023-07-05,01:51:00,1,29.96,1013.5
174,2023-07-05 02:51:00,2023-07-05,02:51:00,2,29.98,1014.2
175,2023-07-05 03:10:00,2023-07-05,03:10:00,3,29.98,1015.0
176,2023-07-05 03:51:00,2023-07-05,03:51:00,3,29.97,1013.8
177,2023-07-05 04:10:00,2023-07-05,04:10:00,4,29.96,1015.0
178,2023-07-05 04:49:00,2023-07-05,04:49:00,4,29.98,1015.0
179,2023-07-05 04:51:00,2023-07-05,04:51:00,4,29.98,1014.2
180,2023-07-05 05:24:00,2023-07-05,05:24:00,5,29.98,1015.0
181,2023-07-05 05:49:00,2023-07-05,05:49:00,5,29.99,1015.0
182,2023-07-05 05:51:00,2023-07-05,05:51:00,5,29.99,1014.4
183,2023-07-05 05:59:00,2023-07-05,05:59:00,5,29.99,1015.0
184,2023-07-05 06:07:00,2023-07-05,06:07:00,6,29.99,1015.0
185,2023-07-05 06:51:00,2023-07-05,06:51:00,6,29.98,1014.4
186,2023-07-05 07:51:00,2023-07-05,07:51:00,7,29.98,1014.1
187,2023-07-05 08:13:00,2023-07-05,08:13:00,8,29.98,1015.0
188,2023-07-05 08:37:00,2023-07-05,08:37:00,8,29.98,1015.0
189,2023-07-05 08:46:00,2023-07-05,08:46:00,8,29.98,1015.0
190,2023-07-05 08:51:00,2023-07-05,08:51:00,8,29.98,1014.2
191,2023-07-05 09:19:00,2023-07-05,09:19:00,9,29.98,1015.0
192,2023-07-05 09:51:00,2023-07-05,09:51:00,9,29.99,1014.4
193,2023-07-05 10:07:00,2023-07-05,10:07:00,10,29.99,1015.0
194,2023-07-05 10:51:00,2023-07-05,10:51:00,10,30.0,1014.9
195,2023-07-05 11:51:00,2023-07-05,11:51:00,11,30.02,1015.4
196,2023-07-05 12:51:00,2023-07-05,12:51:00,12,30.03,1015.8
197,2023-07-05 13:51:00,2023-07-05,13:51:00,13,30.02,1015.6
198,2023-07-05 14:51:00,2023-07-05,14:51:00,14,30.02,1015.6
199,2023-07-05 15:51:00,2023-07-05,15:51:00,15,30.02,1015.5
200,2023-07-05 16:51:00,2023-07-05,16:51:00,16,30.01,1015.2
201,2023-07-05 17:51:00,2023-07-05,17:51:00,17,30.0,1015.0
202,2023-07-05 18:51:00,2023-07-05,18:51:00,18,29.99,1014.4
203,2023-07-05 19:51:00,2023-07-05,19:51:00,19,29.98,1014.1
204,2023-07-05 20:51:00,2023-07-05,20:51:00,20,29.97,1013.9
205,2023-07-05 21:51:00,2023-07-05,21:51:00,21,29.96,1013.5
206,2023-07-05 22:51:00,2023-07-05,22:51:00,22,29.96,1013.5
207,2023-07-05 23:51:00,2023-07-05,23:51:00,23,29.97,1013.7
208,2023-07-06 00:51:00,2023-07-06,00:51:00,0,29.97,1014.0
209,2023-07-06 01:51:00,2023-07-06,01:51:00,1,29.99,1014.6
210,2023-07-06 02:51:00,2023-07-06,02:51:00,2,30.0,1015.0
211,2023-07-06 03:51:00,2023-07-06,03:51:00,3,30.0,1014.7
212,2023-07-06 04:51:00,2023-07-06,04:51:00,4,30.0,1014.8
213,2023-07-06 05:51:00,2023-07-06,05:51:00,5,30.0,1014.9
214,2023-07-06 06:51:00,2023-07-06,06:51:00,6,30.0,1014.9
215,2023-07-06 07:51:00,2023-07-06,07:51:00,7,29.98,1014.3
216,2023-07-06 08:51:00,2023-07-06,08:51:00,8,29.98,1014.2
217,2023-07-06 09:51:00,2023-07-06,09:51:00,9,29.98,1014.1
218,2023-07-06 10:51:00,2023-07-06,10:51:00,10,29.97,1013.9
219,2023-07-06 11:51:00,2023-07-06,11:51:00,11,29.99,1014.4
220,2023-07-06 12:51:00,2023-07-06,12:51:00,12,29.98,1014.3
221,2023-07-06 13:51:00,2023-07-06,13:51:00,13,29.98,1014.3
222,2023-07-06 14:51:00,2023-07-06,14:51:00,14,29.98,1014.2
223,2023-07-06 15:51:00,2023-07-06,15:51:00,15,29.98,1014.1
224,2023-07-06 16:51:00,2023-07-06,16:51:00,16,29.96,1013.6
225,2023-07-06 17:51:00,2023-07-06,17:51:00,17,29.95,1013.2
226,2023-07-06 18:51:00,2023-07-06,18:51:00,18,29.94,1012.7
227,2023-07-06 19:51:00,2023-07-06,19:51:00,19,29.93,1012.4
228,2023-07-06 20:51:00,2023-07-06,20:51:00,20,29.92,1012.1
229,2023-07-06 21:51:00,2023-07-06,21:51:00,21,29.9,1011.5
230,2023-07-06 22:51:00,2023-07-06,22:51:00,22,29.91,1011.8
231,2023-07-06 23:51:00,2023-07-06,23:51:00,23,29.91,1012.0
232,2023-07-07 00:51:00,2023-07-07,00:51:00,0,29.92,1012.0
233,2023-07-07 01:51:00,2023-07-07,01:51:00,1,29.93,1012.5
234,2023-07-07 02:51:00,2023-07-07,02:51:00,2,29.93,1012.5
235,2023-07-07 03:51:00,2023-07-07,03:51:00,3,29.93,1012.3
236,2023-07-07 04:51:00,2023-07-07,04:51:00,4,29.92,1012.1
237,2023-07-07 05:51:00,2023-07-07,05:51:00,5,29.91,1011.7
238,2023-07-07 06:51:00,2023-07-07,06:51:00,6,29.9,1011.5
239,2023-07-07 07:25:00,2023-07-07,07:25:00,7,29.9,1011.6
240,2023-07-07 07:33:00,2023-07-07,07:33:00,7,29.9,1011.6
241,2023-07-07 07:51:00,2023-07-07,07:51:00,7,29.9,1011.4
242,2023-07-07 08:31:00,2023-07-07,08:31:00,8,29.9,1011.6
243,2023-07-07 08:40:00,2023-07-07,08:40:00,8,29.9,1011.6
244,2023-07-07 08:51:00,2023-07-07,08:51:00,8,29.9,1011.4
245,2023-07-07 09:32:00,2023-07-07,09:32:00,9,29.89,1011.6
246,2023-07-07 09:51:00,2023-07-07,09:51:00,9,29.9,1011.4
247,2023-07-07 10:51:00,2023-07-07,10:51:00,10,29.91,1011.8
248,2023-07-07 10:59:00,2023-07-07,10:59:00,10,29.91,1011.6
249,2023-07-07 11:11:00,2023-07-07,11:11:00,11,29.91,1011.6
250,2023-07-07 11:51:00,2023-07-07,11:51:00,11,29.92,1012.0
251,2023-07-07 12:09:00,2023-07-07,12:09:00,12,29.92,1011.6
252,2023-07-07 12:38:00,2023-07-07,12:38:00,12,29.92,1011.6
253,2023-07-07 12:51:00,2023-07-07,12:51:00,12,29.92,1012.1
254,2023-07-07 13:51:00,2023-07-07,13:51:00,13,29.91,1011.9
255,2023-07-07 14:51:00,2023-07-07,14:51:00,14,29.91,1011.7
256,2023-07-07 15:15:00,2023-07-07,15:15:00,15,29.9,1011.6
257,2023-07-07 15:51:00,2023-07-07,15:51:00,15,29.89,1011.3
258,2023-07-07 16:51:00,2023-07-07,16:51:00,16,29.88,1010.7
259,2023-07-07 17:51:00,2023-07-07,17:51:00,17,29.87,1010.5
260,2023-07-07 18:51:00,2023-07-07,18:51:00,18,29.87,1010.3
261,2023-07-07 19:51:00,2023-07-07,19:51:00,19,29.86,1010.1
262,2023-07-07 20:51:00,2023-07-07,20:51:00,20,29.86,1010.2
263,2023-07-07 21:51:00,2023-07-07,21:51:00,21,29.85,1009.8
264,2023-07-07 22:51:00,2023-07-07,22:51:00,22,29.86,1010.2
265,2023-07-07 23:51:00,2023-07-07,23:51:00,23,29.88,1010.8
266,2023-07-08 00:51:00,2023-07-08,00:51:00,0,29.87,1010.6
267,2023-07-08 01:51:00,2023-07-08,01:51:00,1,29.88,1010.9
268,2023-07-08 02:51:00,2023-07-08,02:51:00,2,29.87,1010.5
269,2023-07-08 03:51:00,2023-07-08,03:51:00,3,29.88,1010.6
270,2023-07-08 04:51:00,2023-07-08,04:51:00,4,29.88,1010.8
271,2023-07-08 05:51:00,2023-07-08,05:51:00,5,29.88,1010.8
272,2023-07-08 06:51:00,2023-07-08,06:51:00,6,29.88,1010.8
273,2023-07-08 07:51:00,2023-07-08,07:51:00,7,29.88,1010.7
274,2023-07-08 08:39:00,2023-07-08,08:39:00,8,29.88,1011.6
275,2023-07-08 08:51:00,2023-07-08,08:51:00,8,29.88,1010.7
276,2023-07-08 09:19:00,2023-07-08,09:19:00,9,29.88,1011.6
277,2023-07-08 09:51:00,2023-07-08,09:51:00,9,29.88,1010.8
278,2023-07-08 10:29:00,2023-07-08,10:29:00,10,29.88,1011.6
279,2023-07-08 10:37:00,2023-07-08,10:37:00,10,29.89,1011.6
280,2023-07-08 10:51:00,2023-07-08,10:51:00,10,29.89,1011.2
281,2023-07-08 11:34:00,2023-07-08,11:34:00,11,29.89,1011.6
282,2023-07-08 11:51:00,2023-07-08,11:51:00,11,29.89,1011.3
283,2023-07-08 12:16:00,2023-07-08,12:16:00,12,29.89,1011.6
284,2023-07-08 12:51:00,2023-07-08,12:51:00,12,29.9,1011.4
285,2023-07-08 13:51:00,2023-07-08,13:51:00,13,29.89,1011.2
286,2023-07-08 14:05:00,2023-07-08,14:05:00,14,29.89,1011.6
287,2023-07-08 14:51:00,2023-07-08,14:51:00,14,29.89,1011.0
288,2023-07-08 15:51:00,2023-07-08,15:51:00,15,29.88,1011.0
289,2023-07-08 16:51:00,2023-07-08,16:51:00,16,29.87,1010.5
290,2023-07-08 17:51:00,2023-07-08,17:51:00,17,29.86,1010.0
291,2023-07-08 18:51:00,2023-07-08,18:51:00,18,29.86,1010.0
292,2023-07-08 19:51:00,2023-07-08,19:51:00,19,29.85,1009.9
293,2023-07-08 20:51:00,2023-07-08,20:51:00,20,29.86,1010.0
294,2023-07-08 21:51:00,2023-07-08,21:51:00,21,29.86,1010.0
295,2023-07-08 22:51:00,2023-07-08,22:51:00,22,29.85,1009.9
296,2023-07-08 23:51:00,2023-07-08,23:51:00,23,29.85,1009.9
297,2023-07-09 00:51:00,2023-07-09,00:51:00,0,29.86,1010.0
298,2023-07-09 01:51:00,2023-07-09,01:51:00,1,29.87,1010.3
299,2023-07-09 02:51:00,2023-07-09,02:51:00,2,29.86,1010.2
300,2023-07-09 03:51:00,2023-07-09,03:51:00,3,29.88,1010.7
301,2023-07-09 04:51:00,2023-07-09,04:51:00,4,29.87,1010.3
302,2023-07-09 05:51:00,2023-07-09,05:51:00,5,29.87,1010.6
303,2023-07-09 06:11:00,2023-07-09,06:11:00,6,29.87,1011.6
304,2023-07-09 06:51:00,2023-07-09,06:51:00,6,29.87,1010.4
305,2023-07-09 07:51:00,2023-07-09,07:51:00,7,29.86,1010.1
306,2023-07-09 08:51:00,2023-07-09,08:51:00,8,29.86,1010.2
307,2023-07-09 09:01:00,2023-07-09,09:01:00,9,29.86,1011.6
308,2023-07-09 09:24:00,2023-07-09,09:24:00,9,29.86,1011.6
309,2023-07-09 09:51:00,2023-07-09,09:51:00,9,29.87,1010.3
310,2023-07-09 10:10:00,2023-07-09,10:10:00,10,29.86,1011.6
311,2023-07-09 10:51:00,2023-07-09,10:51:00,10,29.87,1010.3
312,2023-07-09 11:09:00,2023-07-09,11:09:00,11,29.87,1011.6
313,2023-07-09 11:35:00,2023-07-09,11:35:00,11,29.87,1011.6
314,2023-07-09 11:51:00,2023-07-09,11:51:00,11,29.88,1010.8
315,2023-07-09 12:21:00,2023-07-09,12:21:00,12,29.88,1011.6
316,2023-07-09 12:51:00,2023-07-09,12:51:00,12,29.88,1010.7
317,2023-07-09 13:32:00,2023-07-09,13:32:00,13,29.87,1011.6
318,2023-07-09 13:51:00,2023-07-09,13:51:00,13,29.88,1010.6
319,2023-07-09 13:58:00,2023-07-09,13:58:00,13,29.87,1011.6
320,2023-07-09 14:23:00,2023-07-09,14:23:00,14,29.87,1011.6
321,2023-07-09 14:51:00,2023-07-09,14:51:00,14,29.87,1010.3
322,2023-07-09 15:51:00,2023-07-09,15:51:00,15,29.84,1009.4
323,2023-07-09 16:51:00,2023-07-09,16:51:00,16,29.84,1009.4
324,2023-07-09 17:51:00,2023-07-09,17:51:00,17,29.82,1008.9
325,2023-07-09 18:51:00,2023-07-09,18:51:00,18,29.82,1008.8
326,2023-07-09 19:51:00,2023-07-09,19:51:00,19,29.83,1009.1
327,2023-07-09 19:54:00,2023-07-09,19:54:00,19,29.83,1008.2
328,2023-07-09 20:04:00,2023-07-09,20:04:00,20,29.83,1008.2
329,2023-07-09 20:09:00,2023-07-09,20:09:00,20,29.83,1008.2
330,2023-07-09 20:51:00,2023-07-09,20:51:00,20,29.83,1009.1
331,2023-07-09 21:51:00,2023-07-09,21:51:00,21,29.81,1008.4
332,2023-07-09 21:59:00,2023-07-09,21:59:00,21,29.81,1008.2
333,2023-07-09 22:16:00,2023-07-09,22:16:00,22,29.81,1008.2
334,2023-07-09 22:29:00,2023-07-09,22:29:00,22,29.81,1008.2
335,2023-07-09 22:34:00,2023-07-09,22:34:00,22,29.82,1008.2
336,2023-07-09 22:51:00,2023-07-09,22:51:00,22,29.82,1008.9
337,2023-07-09 22:57:00,2023-07-09,22:57:00,22,29.82,1008.2
338,2023-07-09 23:01:00,2023-07-09,23:01:00,23,29.82,1008.2
339,2023-07-09 23:03:00,2023-07-09,23:03:00,23,29.82,1008.2
340,2023-07-09 23:11:00,2023-07-09,23:11:00,23,29.83,1008.2
341,2023-07-09 23:17:00,2023-07-09,23:17:00,23,29.82,1008.2
342,2023-07-09 23:29:00,2023-07-09,23:29:00,23,29.82,1008.2
343,2023-07-09 23:51:00,2023-07-09,23:51:00,23,29.82,1008.7
344,2023-07-09 23:57:00,2023-07-09,23:57:00,23,29.82,1008.2
345,2023-07-10 00:51:00,2023-07-10,00:51:00,0,29.8,1008.2
346,2023-07-10 01:09:00,2023-07-10,01:09:00,1,29.81,1008.2
347,2023-07-10 01:24:00,2023-07-10,01:24:00,1,29.8,1008.2
348,2023-07-10 01:40:00,2023-07-10,01:40:00,1,29.8,1008.2
349,2023-07-10 01:51:00,2023-07-10,01:51:00,1,29.8,1007.9
350,2023-07-10 02:01:00,2023-07-10,02:01:00,2,29.79,1008.2
351,2023-07-10 02:11:00,2023-07-10,02:11:00,2,29.79,1008.2
352,2023-07-10 02:51:00,2023-07-10,02:51:00,2,29.78,1007.4
353,2023-07-10 03:04:00,2023-07-10,03:04:00,3,29.77,1008.2
354,2023-07-10 03:18:00,2023-07-10,03:18:00,3,29.77,1008.2
355,2023-07-10 03:28:00,2023-07-10,03:28:00,3,29.76,1008.2
356,2023-07-10 03:31:00,2023-07-10,03:31:00,3,29.76,1008.2
