,Code,Description
134,A59720,Excess earned income credit (refundable) amount
135,N11070,Number of returns with refundable child tax credit or additional child tax credit
136,A11070,Refundable child tax credit or additional child tax credit amount
137,N10960,Number of returns with refundable education credit
138,A10960,Refundable education credit amount
139,N11560,Number of returns with net premium tax credit
140,A11560,Net premium tax credit amount
141,N11450,"Number of returns with qualified sick and family leave credit for leave taken before April 1, 2021"
142,A11450,"Qualified sick and family leave credit for leave taken before April 1, 2021"
143,N11520,Number of returns with refundable child and dependent care credit
144,A11520,Refundable child and dependent care credit
145,N11530,"Number of returns with qualified sicka dn family leave credit for leave taken afte March 31, 2021"
146,A11530,"Qualified sick and family leave credit for leave taken after March 31, 2021"
147,N10970,Number of returns with recivery rebate credit
148,A10970,Recovery rebate credit amount
149,N10971,Number of returns with economic impact payment third round
150,A10971,Economic impact payment third round amount
151,N06500,Number of returns with income tax after credits
152,A06500,Income tax after credits amount
153,N10300,Number of returns with tax liability
154,A10300,Total tax liability amount
155,N85530,Number of returns with additional Medicare tax
156,A85530,Additional Medicare tax amount
157,N85300,Number of returns with net investment income tax
158,A85300,Net investment income tax amount
159,N11901,Number of returns with tax due at time of filing
160,A11901,Tax due at time of filing amount
161,N11900,Number of returns with total overpayments
162,A11900,Total overpayments amount
163,N11902,Number of returns with overpayments refunded
164,A11902,Overpayments refunded amount
165,N12000,Number of returns with credit to next year's estimated tax
166,A12000,Credited to next year's estimated tax amount
